csv_path,file_stem,row_index,filename,output_path,reason,input_preview
data/SimpleQA/NQ_table_test_simple.csv,NQ_table_test_simple,95,00095.json,output/NQ_table_test_simple/00095.json,sparql_gateway_failure_502_at:$.messages[4].content.tool_calls[0].result,genre of diary of a wimpy kid the getaway
data/SimpleQA/NQ_table_test_simple.csv,NQ_table_test_simple,136,00136.json,output/NQ_table_test_simple/00136.json,sparql_gateway_failure_502_at:$.messages[6].content.tool_calls[0].result,delhi is on the banks of which river
data/SimpleQA/NQ_table_test_simple.csv,NQ_table_test_simple,175,00175.json,output/NQ_table_test_simple/00175.json,sparql_gateway_failure_502_at:$.output.result,which is the only test playing nation that india has never beat in t20
data/SimpleQA/NQ_table_test_simple.csv,NQ_table_test_simple,176,00176.json,output/NQ_table_test_simple/00176.json,sparql_gateway_failure_502_at:$.output.result,who is the actor that plays ducky on ncis
data/SimpleQA/NQ_table_test_simple.csv,NQ_table_test_simple,177,00177.json,output/NQ_table_test_simple/00177.json,sparql_gateway_failure_502_at:$.output.result,how many scholarships do division 2 football teams get
data/SimpleQA/NQ_table_test_simple.csv,NQ_table_test_simple,178,00178.json,output/NQ_table_test_simple/00178.json,sparql_gateway_failure_502_at:$.output.result,how many scholarships do division 2 football teams get
data/SimpleQA/NQ_table_test_simple.csv,NQ_table_test_simple,179,00179.json,output/NQ_table_test_simple/00179.json,sparql_gateway_failure_502_at:$.output.result,where did the last name edwards come from
data/SimpleQA/NQ_table_test_simple.csv,NQ_table_test_simple,180,00180.json,output/NQ_table_test_simple/00180.json,sparql_gateway_failure_502_at:$.output.result,when did drop it like it's hot release
data/SimpleQA/NQ_table_test_simple.csv,NQ_table_test_simple,181,00181.json,output/NQ_table_test_simple/00181.json,sparql_gateway_failure_502_at:$.output.result,when was the last time there was a school shooting in canada
data/SimpleQA/NQ_table_test_simple.csv,NQ_table_test_simple,182,00182.json,output/NQ_table_test_simple/00182.json,sparql_gateway_failure_502_at:$.output.result,do you need a permit or license to own a gun in florida
data/SimpleQA/NQ_table_test_simple.csv,NQ_table_test_simple,502,00502.json,output/NQ_table_test_simple/00502.json,sparql_gateway_failure_502_at:$.messages[100].content.tool_calls[0].result,who won the mens single ice skating 2018
data/SimpleQA/NQ_table_test_simple.csv,NQ_table_test_simple,582,00582.json,output/NQ_table_test_simple/00582.json,sparql_gateway_failure_502_at:$.messages[3].content.tool_calls[0].result,where is tigris river located on the world map
data/SimpleQA/NQ_table_test_simple.csv,NQ_table_test_simple,647,00647.json,output/NQ_table_test_simple/00647.json,sparql_gateway_failure_502_at:$.messages[71].content.tool_calls[0].result,so you think you can dance season 2 judges
data/SimpleQA/NQ_table_test_simple.csv,NQ_table_test_simple,672,00672.json,output/NQ_table_test_simple/00672.json,sparql_gateway_failure_502_at:$.messages[66].content.tool_calls[0].result,who was the drummer with the travelling wilburys
data/SimpleQA/NQ_table_test_simple.csv,NQ_table_test_simple,790,00790.json,output/NQ_table_test_simple/00790.json,sparql_gateway_failure_502_at:$.messages[27].content.tool_calls[0].result,what was the first episode of season 2 riverdale
data/SimpleQA/NQ_table_test_simple.csv,NQ_table_test_simple,828,00828.json,output/NQ_table_test_simple/00828.json,sparql_gateway_failure_502_at:$.messages[28].content.tool_calls[0].result,how many episodes is season 4 of the flash
data/SimpleQA/NQ_table_test_simple.csv,NQ_table_test_simple,852,00852.json,output/NQ_table_test_simple/00852.json,sparql_gateway_failure_502_at:$.messages[9].content.tool_calls[0].result,when did rob dyrdek's fantasy factory end
data/SimpleQA/NQ_table_test_simple.csv,NQ_table_test_simple,861,00861.json,output/NQ_table_test_simple/00861.json,sparql_gateway_failure_502_at:$.messages[48].content.tool_calls[0].result,when was the last time the womens hockey team won gold
data/SimpleQA/NQ_table_test_simple.csv,NQ_table_test_simple,928,00928.json,output/NQ_table_test_simple/00928.json,sparql_gateway_failure_502_at:$.messages[17].content.tool_calls[0].result,how long is the famous suspension bridge in san francisco and what is it called
