question_id,question,entity_id1,entity_label1,entity_id2,entity_label2,entity_id3,entity_label3,entity_id4,entity_label4,entity_number,answer_id,answer_label,answer_src,answer_text,domain,convmix_question_id,context_score
6283,What is the elevation of Dakar?,Q3718,Dakar,,,,,,,1,22 m,22 m,infobox,22 m,soccer,2118-3,2.5
5595,What country are the Varteks from?,Q130673,NK Varteks,,,,,,,1,Q224,Croatia,kb,Croatia,soccer,1888-4,2.5
5138,Where does Family Guy take place?,Q5930,Family Guy,,,,,,,1,Q2254022,Quahog,text,"Quahog, Rhode Island",tvseries,1736-3,2.5
5854,Who created the series Fawlty Towers?,Q212731,Fawlty Towers,,,,,,,1,Q25014,John Cleese,infobox,John Cleese;Connie Booth,tvseries,1976-0,2.5
5671,Where did Johnny Cash born on?,Q42775,Johnny Cash,,,,,,,1,Q79417,Kingsland,text,Kingsland,music,1914-2,2.5
6267,Who is the director of Ant-Man?,Q5901134,Ant-Man,,,,,,,1,Q944763,Peyton Reed,kb,Peyton Reed,movies,2113-0,2.5
6492,Which city was Argentinos Juniors founded?,Q220621,Argentinos Juniors,,,,,,,1,Q1486,Buenos Aires,text,Buenos Aires,soccer,2188-2,2.5
6540,What is the rating on Pitchfork?,Q721140,Pitchfork,,,,,,,1,Q3596794,10/10,table,10/10,music,2204-2,2.5
5937,Who directed the movie section 375?,Q62815320,Section 375,,,,,,,1,Q88572808,Ajay Bahl,kb,Ajay Bahl,movies,2003-0,2.5
6044,Which languages spoken by Daniel Passarella?,Q15802,Daniel Passarella,,,,,,,1,Q1321,Spanish,kb,Spanish,soccer,2038-4,2.5
6469,Who coined the literary term bildungsroman?,Q223945,Bildungsroman,,,,,,,1,Q67149,Johann Karl Simon Morgenstern,text,Johann Karl Simon Morgenstern,books,2180-3,2.5
6567,Actress who was Gilda in Gilda?,Q382307,Gilda,,,,,,,1,Q42745,Rita Hayworth,text,Rita Hayworth,movies,2213-0,2.5
5898,Who wrote the Francisco de Robles?,Q19007672,Francisco de Robles,,,,,,,1,Q5682,Miguel de Cervantes,infobox,Miguel de Cervantes,books,1990-2,2.5
5584,What is Hans Zimmer's birth date?,Q76364,Hans Zimmer,,,,,,,1,1957-09-12T00:00:00Z,12 September 1957,infobox,12 September 1957,music,1885-0,2.5
5279,"When was the song ""Shivers"" released?",Q108489043,Shivers,,,,,,,1,2021-09-10T00:00:00Z,10 September 2021,infobox,10 September 2021,music,1784-0,2.5
6370,Which Postion played by Marcel Desailly?,Q268258,centre back,,,,,,,1,Q193625,Marcel Desailly,infobox,centre-back,soccer,2148-0,2.5
6248,Where was the pilot episode produced?,Q3815,Fringe,,,,,,,1,Q172,Toronto,infobox,"Toronto, Ontario",tvseries,2106-4,2.5
6298,Pearl Jam number of band members?,Q142701,Pearl Jam,,,,,,,1,5,5,text,5,music,2124-0,2.5
6338,Who was Emilio Estevez married to?,Q220918,Emilio Est\u00E9vez,,,,,,,1,Q185465,Paula Abdul,kb,Paula Abdul,tvseries,2136-4,2.5
5360,Which place was Emma Orczy born?,Q234530,Emma Orczy,,,,,,,1,Q1072281,Tarna\u00F6rs,kb,Tarnaörs,books,1810-3,2.5
5123,Who starred in the movie Rocky?,Q188652,Rocky,,,,,,,1,Q40026,Sylvester Stallone,kb,Sylvester Stallone,movies,1732-0,2.5
